Australian Bureau of Statistics

"2021 Census - cultural diversity"
"LGA (UR) by AGE10P Age in Ten Year Groups"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

"AGE10P Age in Ten Year Groups","0-9 years","10-19 years","20-29 years","30-39 years","40-49 years","50-59 years","60-69 years","70-79 years","80-89 years","90-99 years","100 years and over","Total",
"Dungog",1122,1171,785,1059,1121,1415,1467,941,394,69,4,9541,
"Edward River",941,1023,858,826,923,1115,1276,886,487,115,4,8456,
"Eurobodalla",3441,4075,2891,3382,3986,5639,7909,6237,2441,574,13,40593,
"Fairfield",23547,28132,28876,25511,25625,27998,25171,14855,7007,1711,46,208475,
"Federation",1255,1424,1103,1111,1316,1734,2122,1833,823,181,0,12899,
"Forbes",1189,1199,979,1009,992,1220,1133,1006,500,93,4,9319,
"Georges River",16062,16220,23828,22454,19223,19156,16517,11102,5987,1688,47,152274,
"Gilgandra",529,509,374,447,460,606,624,446,249,44,0,4295,
"Glen Innes Severn",851,1007,813,812,954,1187,1461,1216,530,102,3,8931,
"Goulburn Mulwaree",3758,3804,3701,4051,3749,4213,4043,3071,1311,339,4,32053,
"Greater Hume Shire",1389,1653,891,1120,1264,1529,1632,1162,412,100,0,11157,
"Griffith",3528,3442,3514,3828,3320,3408,2906,1783,1098,258,7,27086,
"Gunnedah",1967,1602,1561,1655,1406,1478,1498,1040,612,108,0,12929,
"Gwydir",557,522,364,462,515,698,761,655,304,69,4,4910,
"Hawkesbury",8389,8852,8655,8435,8371,9238,7475,5184,2158,447,15,67207,
"Hay",316,291,347,265,270,461,429,310,182,14,0,2882,
"Hilltops",2355,2408,1853,1970,2077,2591,2635,2222,927,217,4,19254,
"Hornsby",17898,20728,15044,18314,23014,20433,16516,11750,6178,1858,75,151811,
"Hunters Hill",1343,2005,1164,1250,1807,1959,1551,1339,748,389,10,13559,
"Inner West",17979,16145,28396,34495,27900,23225,16612,11222,5446,1354,42,182818,
"Inverell",2196,2341,1911,1908,1936,2293,2301,1885,926,156,7,17853,
"Junee",679,689,841,895,799,816,847,588,222,46,0,6415,
"Kempsey",3217,3555,2949,3060,3177,4157,4975,3785,1457,348,6,30688,
"Kiama",2506,2576,1910,2306,2592,2969,3812,2898,1195,309,0,23074,
"Ku-ring-gai",14223,19045,11389,12475,18277,17700,12955,10416,5813,1736,33,124076,
"Kyogle",884,1077,674,809,994,1468,1824,1118,428,81,4,9359,
"Lachlan",868,740,617,731,657,726,825,549,314,65,4,6094,
"Lake Macquarie",25420,25681,23255,25779,25984,26774,26909,21496,10085,2390,62,213845,
"Lane Cove",4935,4258,4835,7283,6000,4617,3480,2594,1129,293,10,39438,
"Leeton",1501,1830,1262,1379,1254,1438,1294,893,507,96,0,11452,
"Lismore",4676,5563,4663,4904,5597,6278,6503,3990,1682,459,8,44334,
"Lithgow",2142,2383,2108,2275,2332,2906,3064,2502,938,195,3,20842,
"Liverpool",34334,33453,32910,34907,31402,27858,20562,11871,5052,1060,33,233446,
"Liverpool Plains",840,940,647,801,822,1047,1176,865,355,63,4,7551,
"Lockhart",442,440,269,286,341,471,502,351,165,49,4,3319,
"Maitland",12788,12048,11696,13033,11260,10487,9246,6529,2561,556,9,90226,
"Mid-Coast",8668,10075,7124,8036,9406,12722,17287,15311,6438,1488,37,96579,
"Mid-Western Regional",3359,3193,2481,3099,2988,3550,3227,2537,1068,206,0,25713,
"Moree Plains",1756,1551,1675,1556,1509,1772,1452,1015,412,57,0,12751,
"Mosman",2739,3491,2656,3438,3945,4086,3307,2893,1376,384,17,28329,
"Murray River",1373,1443,993,1290,1357,1688,2081,1768,717,135,7,12850,
"Murrumbidgee",364,370,345,396,374,490,511,332,134,35,0,3353,
"Muswellbrook",2264,2255,2001,2257,2063,2211,1637,1138,449,79,0,16357,
"Nambucca Valley",2005,2282,1536,1746,2033,2764,3713,2845,1190,286,3,20407,
"Narrabri",1632,1601,1483,1498,1447,1691,1635,1106,498,109,0,12703,
"Narrandera",720,742,546,566,633,719,779,619,279,80,7,5698,
"Narromine",858,859,644,735,676,763,804,658,297,56,0,6360,
"Newcastle",18105,18972,28480,24493,20715,20044,17591,12321,6227,1868,58,168873,
"North Sydney",6308,4565,10010,14878,10028,8024,6865,5571,2214,470,6,68950,
"Northern Beaches",30441,34554,27019,32679,38939,36999,27507,21400,10911,3007,101,263554,
"Oberon",587,641,514,579,640,819,826,709,232,31,0,5580,
"Orange",6193,5854,5302,5969,5141,4873,4505,3610,1699,355,8,43512,
"Parkes",1876,1929,1605,1608,1583,1817,1803,1268,693,179,3,14361,
"Parramatta",32676,25504,40413,52701,34935,26466,21971,13865,6636,1524,38,256729,
"Penrith",31245,28395,30981,33691,28858,24791,20755,13109,4830,978,27,217664,
"Port Macquarie-Hastings",8538,10261,7596,8158,9468,11093,12801,12036,5485,1287,28,86762,
"Port Stephens",8049,9192,6947,7626,8553,9841,11141,9659,3575,671,17,75276,
"Queanbeyan-Palerang Regional",8344,7447,7669,9884,8663,9064,6608,3891,1466,264,5,63304,
"Randwick",13801,13539,21679,23125,18663,15979,12136,9032,4868,1362,68,134252,
"Richmond Valley",2687,2994,2327,2297,2611,3029,3416,2680,1260,260,8,23565,
"Ryde",14685,12177,19547,24692,17260,14635,12374,8005,4399,1314,33,129123,
"Shellharbour",9460,9977,9382,9585,9513,9605,8877,6334,2916,621,6,76271,
"Shoalhaven",11291,11517,10117,11338,11369,13762,17445,14305,6075,1290,28,108531,
"Singleton",3298,3526,3118,3207,3098,3326,2645,1622,605,136,6,24577,
"Snowy Monaro Regional",2163,2596,2613,2644,2630,3132,2883,1985,839,176,4,21666,
"Snowy Valleys",1762,1808,1380,1608,1748,1978,2159,1603,713,146,4,14891,
"Strathfield",4672,4153,10437,9212,5016,4510,3772,2254,1248,313,11,45593,
"Sutherland Shire",27705,28858,25577,29023,31835,30023,26068,19153,9196,2689,87,230211,
"Sydney",12224,9089,56046,57255,27881,20400,15070,9257,3678,720,13,211632,
"Tamworth Regional",8168,8636,7236,7894,7206,7570,7359,5648,2735,593,16,63070,
"Temora",672,781,506,577,643,781,866,751,357,109,3,6034,
"Tenterfield",566,699,468,511,719,917,1414,1064,368,85,0,6810,
"The Hills Shire",25814,27919,20266,25710,30034,23811,18884,13338,5015,1061,21,191876,
"Tweed",10164,11034,8199,10389,11684,12553,14511,11517,5793,1483,49,97392,
"Upper Hunter Shire",1660,1807,1421,1791,1785,1769,1900,1299,650,150,3,14229,
"Upper Lachlan Shire",984,883,661,821,928,1378,1363,1002,420,72,0,8514,
"Uralla",638,771,517,572,697,892,931,673,219,43,0,5971,
"Wagga Wagga",9138,9245,10152,9159,7547,7450,7013,4851,2456,584,17,67609,
"Walcha",350,307,251,271,320,401,498,414,187,33,0,3016,
"Walgett",668,580,542,575,541,742,852,541,178,29,0,5253,
"Warren",326,305,225,276,261,356,334,289,136,34,3,2550,
"Warrumbungle Shire",955,1117,751,848,899,1317,1418,1228,571,115,0,9225,
"Waverley",7234,6477,10775,15132,9904,7382,5134,3968,1984,604,12,68605,
"Weddin",347,408,267,295,398,525,571,520,212,64,0,3608,
"Wentworth",969,886,739,867,866,1038,1037,732,267,59,0,7453,
"Willoughby",9130,9346,8309,11381,12203,9404,7163,5210,2595,847,26,75613,
"Wingecarribee",5446,6334,4323,5224,5940,7070,7413,7165,3159,602,24,52709,
"Wollondilly",7692,7742,6276,7008,7107,6801,5782,3838,1441,266,5,53961,
"Wollongong",24774,25964,30228,27548,26957,26345,23765,17523,9287,2140,44,214564,
"Woollahra",5070,5552,7099,8033,6855,6760,5569,5240,2556,731,24,53496,
"Yass Valley",2123,2429,1519,1894,2468,2542,2127,1479,558,144,3,17281,
"Unincorporated NSW",125,87,63,143,160,142,159,96,33,12,0,1016,
"No usual address (NSW)",891,900,1942,2028,1776,1647,1447,602,117,22,0,11371,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,
"Total",968870,959034,1052156,1166240,1039903,990189,888120,640348,294108,71284,1912,8072163,

"Data source: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
